,name,id,location,is_economy,media_type,daily_avg_vlm,rank
923,长江商报,500,湖北,1.0,0，1,8.596938775510203,1
509,江苏商报,460501,江苏,1.0,0，2,8.576923076923077,1
976,投资界,84,北京,1.0,1，3,8.469534050179211,1
909,上海证券交易所,23,上海,1.0,6,8.373333333333333,1
940,华泰期货,50,,,5,8.073684210526316,1
516,郑州晚报,470201,,,0，2，3，4,7.891666666666667,1
678,青海日报,106110,青海,0.0,0,7.839805825242719,1
942,钛媒体,52,北京,0.0,1，3，4,7.579505300353357,1
715,今晚报,102870,天津,0.0,0,7.577922077922078,1
883,中国发展网,510101,北京,0.0,1,7.28169014084507,1
959,光大证券,69,上海,1.0,5,7.270935960591133,1
463,萧山日报,390501,浙江,0.0,0，1,7.257142857142857,1
975,中金公司,83,北京,1.0,4,7.251428571428572,1
1022,兴业证券,107,福建,1.0,5,7.216346153846154,1
135,北京日报客户端,70102,北京,0.0,3,7.116197183098592,1
963,中泰证券,73,山东,1.0,5,7.029126213592233,1
960,国际衍生品智库,70,广东,1.0,4,7.0092592592592595,1
984,东北证券,91,吉林,1.0,1，5,7.0,1
180,云南经济日报,130402,,,0，2，3,6.875,1
729,大众网,330001,山东,0.0,1，2，3,6.722222222222222,1
1006,上证,23,上海,1.0,6,6.666666666666667,1
980,安信证券,87,广东,1.0,5,6.595348837209302,1
695,南昌日报,103150,江西,0.0,0,6.486666666666666,1
217,山西晚报,170200,山西,0.0,0,6.46969696969697,1
951,盖世汽车,62,上海,0.0,1,6.4222222222222225,1
1025,招商证券,110,广东,1.0,5,6.364077669902913,1
755,华龙网,350003,重庆,0.0,1，2,6.258064516129032,1
742,封面新闻,340408,四川,0.0,2，3，4,6.053639846743295,1
237,亳州晚报,181003,安徽,0.0,0，2，3,6.044117647058823,1
1004,深圳交易所,88,,,6,6.0,1
1005,上海交易所,23,,,6,6.0,1
701,北国网,320001,辽宁,0.0,1，2，3,5.903553299492386,1
970,中信建投,79,北京,1.0,5,5.863247863247863,1
740,大连日报,103540,辽宁,0.0,0,5.759740259740259,1
939,投资时报,48,湖北,1.0,0，1,5.7156398104265405,1
1021,海通证券,106,上海,1.0,5,5.712121212121212,1
698,兰州晚报,102950,甘肃,0.0,0,5.662337662337662,1
58,南方网,40001,广东,0.0,1,5.564315352697095,1
965,国信证券,75,广东,1.0,5,5.469072164948454,1
934,黄金头条,42,上海,1.0,1，4,5.46606334841629,1
588,周到上海,230602,上海,0.0,1，2，4,5.4534412955465585,1
771,河北新闻网,370001,河北,0.0,1，2，3,5.440860215053763,1
157,扬子晚报,120202,江苏,0.0,0，2，3,5.387665198237886,1
91,北京晚报,70201,北京,0.0,0，2，3，4,5.360515021459228,1
252,东南商报,200401,浙江,1.0,0，2，3,5.333333333333333,1
243,南国都市报,190200,海南,0.0,0,5.327868852459017,1
461,每日商报,390301,杭州,1.0,0，3,5.284883720930233,1
164,北京商报网,70731,北京,1.0,1，2，3,5.2468619246861925,1
1024,广发证券,109,广东,1.0,1，5,5.225806451612903,1
981,深圳证券交易所,88,广东,1.0,4,5.222222222222222,1
990,华创证券,96,贵州,1.0,5,5.074468085106383,1
55,增城日报,31202,广东,0.0,0，3,5.064285714285714,1
663,石家庄日报,105290,河北,0.0,0,4.918238993710692,1
584,上观新闻,230101,上海,0.0,1，2，3，4,4.90625,1
409,华西都市报,340400,四川,0.0,0,4.858870967741935,1
967,证券市场周刊,510600,北京,1.0,0，3,4.754901960784314,1
941,央广网,51,北京,0.0,1,4.7380073800738005,1
545,南国早报,580100,广西,0.0,0,4.662576687116564,1
541,红星新闻,220202,四川,1.0,2，3，4,4.605633802816901,1
689,南国今报,107060,广西,0.0,0,4.6,1
968,央行,77,北京,1.0,6,4.546296296296297,1
726,山东财经网,330902,山东,1.0,1,4.545454545454546,1
639,西宁晚报,105670,青海,0.0,0,4.509316770186335,1
953,亿欧网,63,北京,0.0,1,4.478102189781022,1
956,99废纸之家,66,,0.0,2,4.3,1
416,重庆晨报,350301,重庆,0.0,0，2，3,4.258706467661692,1
458,华声在线,381100,湖南,0.0,0,4.236263736263736,1
1027,国金证券,112,上海,1.0,5,4.129533678756476,1
121,浙商,90100,浙江,1.0,0,4.125628140703518,1
668,上海青年报,101910,上海,0.0,0,4.06,1
1019,虎嗅,86,北京,1.0,1，3，4,4.045081967213115,1
757,荆楚网,360102,湖北,0.0,1，4,4.02112676056338,1
72,南方,40900,广东,0.0,0,3.9829787234042553,1
946,申万宏源,57,上海,1.0,5,3.967032967032967,1
944,民航资源网,54,安徽,0.0,1,3.966386554621849,1
137,河南商报,100202,河南,1.0,0，3,3.9652777777777777,1
988,中新网,94,北京,0.0,1,3.964426877470356,1
71,21财经,40502,广东,1.0,4,3.944223107569721,1
889,市值风云,6,北京,1.0,1，4,3.9242424242424243,1
449,三湘都市报,380201,湖南,0.0,0，1，2，3,3.9140625,1
694,南昌晚报,103160,江西,0.0,0,3.863157894736842,1
422,中国吉林网,140001,吉林,0.0,1,3.8564102564102565,1
111,首都建设报,72201,北京,0.0,0，2,3.8333333333333335,1
1023,中金在线,108,福建,1.0,5,3.8143459915611815,1
118,快报,60008,HK,0.0,0，2,3.798206278026906,1
991,东吴证券,97,江苏,1.0,5,3.7761194029850746,1
969,博易大师,78,上海,1.0,1，4,3.635514018691589,1
549,投资快报,610101,广东,1.0,0,3.6091954022988504,1
529,江阴日报,500300,江苏,0.0,0,3.6,1
629,燕赵晚报,104930,河北,0.0,0,3.553719008264463,1
